=====================================================================
Aufgabe: Aufgabe 1
System start time:  13:09:43
System start date:  11-05-2026
Datum: 11-05-2026
Uhrzeit Aufgaben Abschlus: 13:16:10
Benoetigte Zeit: 358.2783s
Start der Aufgabe nach System Start: 6423.536s
---------------------------------------------------------------------
Heatmap Reloads: 5
Reload Button Zeitpunkte:
Reload Button Press Number0: Triggerd(TimeSinceStartUP): 6530.751s | TimeSinceTaskStart: 107.2153s
Reload Button Press Number1: Triggerd(TimeSinceStartUP): 6532.718s | TimeSinceTaskStart: 109.1821s
Reload Button Press Number2: Triggerd(TimeSinceStartUP): 6740.621s | TimeSinceTaskStart: 317.085s
Reload Button Press Number3: Triggerd(TimeSinceStartUP): 6742.557s | TimeSinceTaskStart: 319.021s
Reload Button Press Number4: Triggerd(TimeSinceStartUP): 6781.813s | TimeSinceTaskStart: 358.2764s
---------------------------------------------------------------------
Kamera zurueck zaehler: 0
Camera Back Button Zeitpunkte:
---------------------------------------------------------------------
Winkel aenderungs Zeitpunkte: 
TimeSinceStartUP: 6627.496s | TimeSinceTaskStart: 203.9595s | Winkel: 18°
TimeSinceStartUP: 6627.604s | TimeSinceTaskStart: 204.0679s | Winkel: 19°
TimeSinceStartUP: 6627.743s | TimeSinceTaskStart: 204.2065s | Winkel: 20°
TimeSinceStartUP: 6628.036s | TimeSinceTaskStart: 204.4995s | Winkel: 19°
TimeSinceStartUP: 6628.232s | TimeSinceTaskStart: 204.6958s | Winkel: 18°
TimeSinceStartUP: 6628.314s | TimeSinceTaskStart: 204.7778s | Winkel: 15°
TimeSinceStartUP: 6628.423s | TimeSinceTaskStart: 204.8872s | Winkel: 11°
TimeSinceStartUP: 6628.532s | TimeSinceTaskStart: 204.9961s | Winkel: 6°
TimeSinceStartUP: 6628.803s | TimeSinceTaskStart: 205.2666s | Winkel: 7°
TimeSinceStartUP: 6629.085s | TimeSinceTaskStart: 205.5493s | Winkel: 8°
TimeSinceStartUP: 6629.119s | TimeSinceTaskStart: 205.583s | Winkel: 9°
TimeSinceStartUP: 6629.227s | TimeSinceTaskStart: 205.6904s | Winkel: 10°
TimeSinceStartUP: 6629.317s | TimeSinceTaskStart: 205.7813s | Winkel: 11°
TimeSinceStartUP: 6649.653s | TimeSinceTaskStart: 226.1167s | Winkel: 12°
TimeSinceStartUP: 6649.766s | TimeSinceTaskStart: 226.2295s | Winkel: 14°
TimeSinceStartUP: 6649.879s | TimeSinceTaskStart: 226.3428s | Winkel: 20°
TimeSinceStartUP: 6649.987s | TimeSinceTaskStart: 226.4507s | Winkel: 23°
TimeSinceStartUP: 6650.098s | TimeSinceTaskStart: 226.5615s | Winkel: 27°
TimeSinceStartUP: 6650.207s | TimeSinceTaskStart: 226.6704s | Winkel: 29°
TimeSinceStartUP: 6650.653s | TimeSinceTaskStart: 227.1167s | Winkel: 30°
TimeSinceStartUP: 6650.764s | TimeSinceTaskStart: 227.228s | Winkel: 34°
TimeSinceStartUP: 6650.875s | TimeSinceTaskStart: 227.3384s | Winkel: 36°
TimeSinceStartUP: 6650.982s | TimeSinceTaskStart: 227.4463s | Winkel: 37°
TimeSinceStartUP: 6653.49s | TimeSinceTaskStart: 229.9541s | Winkel: 36°
TimeSinceStartUP: 6653.599s | TimeSinceTaskStart: 230.0625s | Winkel: 37°
TimeSinceStartUP: 6659.619s | TimeSinceTaskStart: 236.083s | Winkel: 38°
TimeSinceStartUP: 6659.731s | TimeSinceTaskStart: 236.1948s | Winkel: 40°
TimeSinceStartUP: 6659.855s | TimeSinceTaskStart: 236.3188s | Winkel: 42°
TimeSinceStartUP: 6659.981s | TimeSinceTaskStart: 236.4448s | Winkel: 43°
TimeSinceStartUP: 6660.104s | TimeSinceTaskStart: 236.5674s | Winkel: 44°
TimeSinceStartUP: 6660.491s | TimeSinceTaskStart: 236.9551s | Winkel: 43°
TimeSinceStartUP: 6660.603s | TimeSinceTaskStart: 237.0669s | Winkel: 42°
